iterasyon 70, epoch 71/100, Loss: 6.1324, Learning rate: 1e-05, MSE Loss: 0.0570, CE Loss: 6.0755, Accuracy: 5.13%
iterasyon 71, epoch 72/100, Loss: 6.1243, Learning rate: 1e-05, MSE Loss: 0.0564, CE Loss: 6.0679, Accuracy: 5.13%
iterasyon 72, epoch 73/100, Loss: 6.1161, Learning rate: 1e-05, MSE Loss: 0.0558, CE Loss: 6.0603, Accuracy: 5.13%
iterasyon 73, epoch 74/100, Loss: 6.1079, Learning rate: 1e-05, MSE Loss: 0.0552, CE Loss: 6.0528, Accuracy: 5.13%
iterasyon 74, epoch 75/100, Loss: 6.0999, Learning rate: 1e-05, MSE Loss: 0.0546, CE Loss: 6.0453, Accuracy: 5.13%
iterasyon 75, epoch 76/100, Loss: 6.0918, Learning rate: 1e-05, MSE Loss: 0.0540, CE Loss: 6.0377, Accuracy: 5.13%
iterasyon 76, epoch 77/100, Loss: 6.0837, Learning rate: 1e-05, MSE Loss: 0.0534, CE Loss: 6.0302, Accuracy: 6.41%
iterasyon 77, epoch 78/100, Loss: 6.0756, Learning rate: 1e-05, MSE Loss: 0.0529, CE Loss: 6.0227, Accuracy: 6.41%
iterasyon 78, epoch 79/100, Loss: 6.0677, Learning rate: 1e-05, MSE Loss: 0.0523, CE Loss: 6.0153, Accuracy: 6.41%
iterasyon 79, epoch 80/100, Loss: 6.0597, Learning rate: 1e-05, MSE Loss: 0.0518, CE Loss: 6.0079, Accuracy: 6.41%
iterasyon 80, epoch 81/100, Loss: 6.0517, Learning rate: 1e-05, MSE Loss: 0.0513, CE Loss: 6.0005, Accuracy: 7.69%
iterasyon 81, epoch 82/100, Loss: 6.0438, Learning rate: 1e-05, MSE Loss: 0.0508, CE Loss: 5.9930, Accuracy: 7.69%
iterasyon 82, epoch 83/100, Loss: 6.0358, Learning rate: 1e-05, MSE Loss: 0.0503, CE Loss: 5.9856, Accuracy: 7.69%
iterasyon 83, epoch 84/100, Loss: 6.0280, Learning rate: 1e-05, MSE Loss: 0.0498, CE Loss: 5.9782, Accuracy: 7.69%
iterasyon 84, epoch 85/100, Loss: 6.0202, Learning rate: 1e-05, MSE Loss: 0.0493, CE Loss: 5.9709, Accuracy: 8.97%
iterasyon 85, epoch 86/100, Loss: 6.0124, Learning rate: 1e-05, MSE Loss: 0.0489, CE Loss: 5.9636, Accuracy: 8.97%
iterasyon 86, epoch 87/100, Loss: 6.0046, Learning rate: 1e-05, MSE Loss: 0.0484, CE Loss: 5.9562, Accuracy: 8.97%
iterasyon 87, epoch 88/100, Loss: 5.9969, Learning rate: 1e-05, MSE Loss: 0.0480, CE Loss: 5.9489, Accuracy: 8.97%
iterasyon 88, epoch 89/100, Loss: 5.9892, Learning rate: 1e-05, MSE Loss: 0.0476, CE Loss: 5.9416, Accuracy: 8.97%
iterasyon 89, epoch 90/100, Loss: 5.9815, Learning rate: 1e-05, MSE Loss: 0.0472, CE Loss: 5.9343, Accuracy: 8.97%
iterasyon 90, epoch 91/100, Loss: 5.9738, Learning rate: 1e-05, MSE Loss: 0.0468, CE Loss: 5.9271, Accuracy: 8.97%
iterasyon 91, epoch 92/100, Loss: 5.9662, Learning rate: 1e-05, MSE Loss: 0.0464, CE Loss: 5.9198, Accuracy: 8.97%
iterasyon 92, epoch 93/100, Loss: 5.9587, Learning rate: 1e-05, MSE Loss: 0.0460, CE Loss: 5.9127, Accuracy: 8.97%
iterasyon 93, epoch 94/100, Loss: 5.9512, Learning rate: 1e-05, MSE Loss: 0.0456, CE Loss: 5.9056, Accuracy: 8.97%
